Date,Country,Production_Tons,Export_Tons,USD_Price,Month,Year,Season
2013-06-28,Chile,198592,27393,15.39,6,2013,Summer
2019-08-26,South Africa,151287,17866,13.0,8,2019,Summer
2016-11-09,Canada,214355,41122,16.3,11,2016,Spring
2022-09-09,Italy,232414,46085,13.94,9,2022,Spring
2018-08-01,Japan,275341,37157,11.17,8,2018,Summer
2021-11-13,China,207963,47989,16.31,11,2021,Spring
2018-09-30,Japan,330685,30193,16.13,9,2018,Spring
2015-12-15,Hungary,318762,21951,7.81,12,2015,Winter
2013-10-26,Saudi Arabia,271805,5065,17.99,10,2013,Spring
2013-11-25,Netherlands,188968,30223,16.41,11,2013,Spring
2011-03-11,China,268604,21422,11.94,3,2011,Ramadan
2022-11-08,Brazil,176216,13242,12.19,11,2022,Spring
2018-05-03,Kuwait,321126,16304,15.19,5,2018,Spring
2015-09-16,Czech Republic,186025,11099,17.61,9,2015,Spring
2017-05-08,Lebanon,342382,23872,5.54,5,2017,Spring
2015-01-19,Belgium,172467,11337,14.19,1,2015,Winter
2022-08-10,Lebanon,157254,35230,17.36,8,2022,Summer
2013-01-29,Brazil,325036,21337,18.47,1,2013,Winter
2010-12-11,Turkey,186517,28247,11.58,12,2010,Winter
2012-09-01,UK,280888,31104,12.66,9,2012,Spring
2011-12-06,France,245638,74664,7.61,12,2011,Winter
2024-04-01,Greece,289116,25773,6.52,4,2024,Ramadan
2015-04-19,Sweden,236380,11477,12.1,4,2015,Ramadan
2023-09-04,Morocco,277793,38452,15.57,9,2023,Spring
2022-10-09,Kuwait,162573,11492,7.72,10,2022,Spring
2017-12-04,South Africa,327005,6840,15.29,12,2017,Winter
2010-06-14,Saudi Arabia,349669,35207,11.35,6,2010,Summer
2013-09-26,Switzerland,332173,9732,17.85,9,2013,Spring
2011-01-10,Argentina,208138,31429,14.4,1,2011,Winter
2020-12-18,Australia,215432,15343,12.21,12,2020,Winter
2023-10-04,Saudi Arabia,323933,35845,13.49,10,2023,Spring
2024-01-02,Morocco,260576,27111,13.71,1,2024,Winter
2018-04-03,Morocco,242570,31177,14.21,4,2018,Ramadan
2019-06-27,Algeria,224575,7271,13.24,6,2019,Summer
2024-06-30,Norway,338447,9286,9.09,6,2024,Summer
2021-10-14,Italy,165036,71870,6.48,10,2021,Spring
2023-08-05,Argentina,306818,15610,6.67,8,2023,Summer
2019-08-26,Turkey,218183,39007,7.61,8,2019,Summer
2017-04-08,Spain,165179,20639,8.68,4,2017,Ramadan
2017-10-05,UK,173493,16721,10.1,10,2017,Spring
2016-12-09,Poland,348834,33730,11.84,12,2016,Winter
2022-08-10,Sweden,319827,16906,12.98,8,2022,Summer
2018-11-29,USA,323292,27204,16.76,11,2018,Spring
2013-01-29,Japan,290255,27514,15.62,1,2013,Winter
2018-07-02,Argentina,207657,34102,15.83,7,2018,Summer
2021-01-17,Norway,232977,19914,16.27,1,2021,Winter
2018-11-29,Sweden,340502,26870,10.1,11,2018,Spring
2023-04-07,Argentina,265335,20126,11.44,4,2023,Ramadan
2015-05-19,China,195019,35086,15.76,5,2015,Spring
2023-05-07,Spain,250330,6932,14.38,5,2023,Spring
2015-06-18,Lebanon,329900,15760,9.49,6,2015,Summer
2017-12-04,Portugal,229151,18843,11.16,12,2017,Winter
